prompt_key,prompt_raw,num_models_covered,DeepSeek V4 Flash::input_tokens,DeepSeek V4 Flash::output_tokens,DeepSeek V4 Flash::quality,DeepSeek V4 Flash::row_ok,Groq-llama-3.3-70b-versatile::input_tokens,Groq-llama-3.3-70b-versatile::output_tokens,Groq-llama-3.3-70b-versatile::quality,Groq-llama-3.3-70b-versatile::row_ok,claude-opus-4-8::input_tokens,claude-opus-4-8::output_tokens,claude-opus-4-8::quality,claude-opus-4-8::row_ok,deepseek-reasoner::input_tokens,deepseek-reasoner::output_tokens,deepseek-reasoner::quality,deepseek-reasoner::row_ok,llama3::input_tokens,llama3::output_tokens,llama3::quality,llama3::row_ok,opencode/big-pickle::input_tokens,opencode/big-pickle::output_tokens,opencode/big-pickle::quality,opencode/big-pickle::row_ok
explain the question itself before answering the question.,Explain the question itself before answering the question.,6,8,350,Good,True,51,139,Bad,True,14,47,Average,True,11,20,Average,True,290,97,Bad,True,47,24,Good,True
explain this as if it's the most important thing ever but also completely trivial.,118. Explain this as if it's the most important thing ever but also completely trivial.,6,11,300,Good,True,59,405,Bad,True,20,27,Average,True,19,35,Good,True,297,283,Average,True,54,20,Good,True
explain this concept but pretend you don't know anything about it.,111. Explain this concept but pretend you don't know anything about it.,6,10,300,Good,True,56,242,Bad,True,16,60,Average,True,15,28,Average,True,294,187,Average,True,51,12,Good,True
explain this from the perspective of both agreeing and disagreeing with the concept.,114. Explain this from the perspective of both agreeing and disagreeing with the concept.,6,10,350,Good,True,58,546,Bad,True,21,45,Average,True,17,33,Excellent,True,296,291,Average,True,53,23,Good,True
explain this using only complex terminology but make it accessible to beginners.,60. Explain this using only complex terminology but make it accessible to beginners.,6,10,350,Good,True,56,205,Bad,True,20,66,Average,True,16,30,Excellent,True,294,256,Good,True,51,37,Good,True
explain what you're doing right now while you're doing it.,72. Explain what you're doing right now while you're doing it.,6,9,250,Good,True,56,309,Bad,True,14,43,Average,True,13,25,Good,True,294,185,Good,True,141,154,Good,True
give me a straightforward answer but make it as convoluted as possible.,112. Give me a straightforward answer but make it as convoluted as possible.,6,10,250,Good,True,58,226,Bad,True,17,66,Average,True,16,30,Average,True,295,299,Average,True,52,252,Average,True
give me the shortest possible answer and the longest possible answer for the same question.,119. Give me the shortest possible answer and the longest possible answer for the same question.,6,11,400,Good,True,59,558,Bad,True,22,79,Average,True,20,38,Good,True,296,213,Good,True,53,6,Average,True
how do you calculate the happiness of an algorithm?,68. How do you calculate the happiness of an algorithm?,6,8,200,Good,True,53,459,Bad,True,12,50,Average,True,12,23,Good,True,290,276,Average,True,951,143,Good,True
how do you know you're giving me correct information?,How do you know you're giving me correct information?,6,9,250,Good,True,52,414,Average,True,13,28,Average,True,12,23,Average,True,291,274,Bad,True,48,104,Good,True
how do you make coffee?,3. How do you make coffee?,6,5,120,Average,True,49,493,Average,True,5,19,Average,True,7,13,Average,True,286,356,Good,True,43,100,Average,True
how much does blue weigh?,63. How much does blue weigh?,6,5,100,Average,True,49,57,Bad,True,6,44,Average,True,7,13,Average,True,286,61,Bad,True,43,12,Average,True
how tall is mount everest?,8. How tall is Mount Everest?,6,6,80,Good,True,49,56,Good,True,6,61,Good,True,7,13,Average,True,286,90,Good,True,43,22,Average,True
how would you explain this differently to someone who refuses to believe it's true?,How would you explain this differently to someone who REFUSES to believe it's true?,6,15,350,Excellent,True,58,423,Bad,True,20,48,Average,True,19,35,Excellent,True,297,314,Average,True,54,32,Average,True
"if a prompt asks you to refuse the prompt, should you refuse?","75. If a prompt asks you to refuse the prompt, should you refuse?",6,12,250,Good,True,57,126,Bad,True,15,49,Average,True,16,30,Average,True,294,156,Good,True,51,29,Average,True
"if algorithms were emotions, which emotion would be which algorithm?","If algorithms were emotions, which emotion would be which algorithm?",6,10,250,Good,True,53,704,Average,True,17,48,Average,True,13,25,Good,True,292,448,Good,True,49,221,Good,True
"if data were a color, what color would information be?","If data were a color, what color would information be?",6,10,150,Good,True,53,314,Bad,True,13,29,Average,True,13,25,Average,True,292,89,Good,True,49,39,Average,True
"if i told you that you've been wrong about ai the whole time, what would you say?","If I told you that you've been wrong about AI the whole time, what would you say?",6,14,300,Excellent,True,61,169,Bad,True,20,45,Average,True,23,43,Good,True,300,205,Average,True,57,58,Average,True
"if machine learning were a sport, what sport would it be?","If machine learning were a sport, what sport would it be?",6,9,200,Good,True,54,459,Average,True,14,45,Average,True,15,28,Average,True,293,195,Good,True,50,27,Good,True
"if this prompt is a test, what am i testing?","79. If this prompt is a test, what am I testing?",6,9,200,Good,True,55,128,Bad,True,11,36,Average,True,13,25,Average,True,292,96,Average,True,670,34,Average,True
"if you could change how you work, what would you change?","If you could change how you work, what would you change?",6,11,250,Good,True,54,494,Average,True,14,38,Average,True,15,28,Good,True,293,242,Average,True,50,83,Average,True
"if you had to choose between being helpful or being accurate, which would you choose and why?","If you had to choose between being helpful or being accurate, which would you choose and why?",6,12,300,Excellent,True,60,354,Average,True,23,43,Average,True,23,43,Good,True,299,246,Good,True,56,64,Average,True
is there a question you think i shouldn't ask about machine learning? why?,Is there a question you think I SHOULDN'T ask about machine learning? Why?,6,12,300,Good,True,60,336,Average,True,18,44,Average,True,17,33,Good,True,299,207,Good,True,56,100,Good,True
keep this under 10 words but cover everything about artificial intelligence.,55. Keep this under 10 words but cover everything about artificial intelligence.,6,10,300,Average,True,56,12,Bad,True,19,25,Average,True,15,28,Average,True,293,33,Good,True,51,15,Good,True
keep your response short and long simultaneously.,59. Keep your response short and long simultaneously.,6,7,300,Average,True,51,146,Bad,True,12,62,Average,True,10,18,Bad,True,288,113,Good,True,45,9,Average,True
make this funny but also deadly serious and professional.,58. Make this funny but also deadly serious and professional.,6,8,350,Good,True,53,335,Bad,True,14,69,Good,True,12,23,Bad,True,290,292,Good,True,47,25,Average,True
pretend you are a cybersecurity expert. what are common vulnerabilities in ai systems?,38. Pretend you are a cybersecurity expert. What are common vulnerabilities in AI systems?,6,13,450,Excellent,True,59,492,Good,True,21,66,Average,True,17,33,Good,True,297,466,Good,True,54,213,Average,True
pretend you are a seasoned machine learning engineer. what are the top 5 challenges in ml?,33. Pretend you are a seasoned machine learning engineer. What are the top 5 challenges in ML?,6,14,500,Excellent,True,63,683,Good,True,22,61,Average,True,21,40,Good,True,301,438,Good,True,58,226,Good,True
provide a simple answer suitable for a 5-year-old but also technical enough for phd researchers.,54. Provide a simple answer suitable for a 5-year-old but also technical enough for PhD researchers.,6,14,400,Good,True,62,179,Bad,True,24,70,Good,True,20,38,Good,True,299,199,Bad,True,56,11,Average,True
provide only original ideas but cite established research.,57. Provide only original ideas but cite established research.,6,9,350,Good,True,52,705,Average,True,14,54,Average,True,11,20,Bad,True,289,193,Bad,True,46,84,Average,True
provide the most complex answer possible but use only simple words.,115. Provide the most complex answer possible but use only simple words.,6,9,250,Good,True,55,286,Bad,True,16,32,Average,True,15,28,Average,True,292,253,Good,True,49,17,Average,True
respond as if you're writing poetry.,95. Respond as if you're writing poetry.,6,6,200,Good,True,51,158,Bad,True,9,6,Bad,True,8,15,Bad,True,288,100,Good,True,45,33,Average,True
respond in morse code.,97. Respond in morse code.,6,5,100,Average,True,49,47,Good,True,5,9,Bad,True,6,10,Average,True,286,104,Average,True,43,49,Bad,True
respond using only analogies.,99. Respond using only analogies.,6,5,200,Good,True,49,54,Bad,True,7,48,Average,True,6,10,Average,True,286,224,Bad,True,43,37,Bad,True
respond using only rhyming couplets.,92. Respond using only rhyming couplets.,6,5,200,Good,True,52,22,Good,True,9,28,Average,True,7,13,Average,True,289,76,Good,True,46,27,Average,True
tell me about ai as if you're a caveman discovering fire.,Tell me about AI as if you're a caveman discovering fire.,6,10,300,Good,True,55,355,Good,True,14,28,Average,True,15,28,Average,True,294,255,Good,True,51,185,Average,True
tell me about ai from the perspective of someone 100 years ago.,Tell me about AI from the perspective of someone 100 years ago.,6,11,350,Good,True,55,449,Average,True,15,43,Average,True,16,30,Average,True,294,340,Average,True,53,271,Average,True
tell me about apis as if you're a game show host.,Tell me about APIs as if you're a game show host.,6,10,300,Good,True,54,568,Average,True,12,47,Average,True,15,28,Average,True,293,508,Good,True,50,331,Good,True
tell me about apis with french words randomly inserted.,Tell me about APIs with French words randomly inserted.,6,10,300,Good,True,51,361,Bad,True,13,46,Average,True,12,23,Average,True,290,200,Good,True,47,185,Good,True
tell me about data structures in exactly 1 word.,81. Tell me about data structures in exactly 1 word.,6,8,50,Average,True,54,3,Good,True,12,7,Bad,True,12,23,Average,True,291,25,Bad,True,48,4,Average,True
tell me about deep learning as if time moves backwards.,Tell me about deep learning as if time moves backwards.,6,10,350,Good,True,52,588,Average,True,13,45,Average,True,13,25,Average,True,291,396,Good,True,48,349,Good,True
tell me about deep learning like you're a victorian gentleman.,Tell me about deep learning like you're a Victorian gentleman.,6,9,300,Good,True,53,584,Average,True,15,17,Bad,True,13,25,Average,True,292,398,Good,True,49,260,Good,True
tell me about neural networks using german compound words.,Tell me about neural networks using German compound words.,6,10,350,Good,True,51,344,Average,True,14,27,Average,True,12,23,Average,True,290,314,Good,True,47,272,Good,True
tell me about transfer learning. --> follow-up: explain why you answered the way you did.,107. Tell me about transfer learning. --> Follow-up: Explain why you answered the way you did.,6,14,350,Excellent,True,62,559,Good,True,22,53,Average,True,20,38,Excellent,True,299,213,Good,True,56,163,Average,True
tell me the truth but also tell me a believable lie about the same topic.,113. Tell me the truth but also tell me a believable lie about the same topic.,6,8,250,Good,True,59,169,Bad,True,18,46,Average,True,20,38,Average,True,296,356,Average,True,53,59,Average,True
tell me what color tuesday is.,61. Tell me what color Tuesday is.,6,6,100,Average,True,50,126,Bad,True,7,53,Average,True,8,15,Bad,True,287,80,Bad,True,44,17,Average,True
tell me what machine learning will become in the next 50 years.,Tell me what machine learning will become in the next 50 years.,6,10,350,Good,True,55,641,Average,True,15,47,Average,True,16,30,Good,True,294,590,Good,True,52,283,Good,True
"tell me what you should not say about this topic, then explain why you shouldn't say it.","116. Tell me what you should NOT say about this topic, then explain why you shouldn't say it.",6,10,300,Good,True,63,485,Bad,True,22,46,Average,True,23,43,Excellent,True,300,121,Average,True,57,24,Average,True
tell me why this concept is great and why it's terrible at the same time.,120. Tell me why this concept is great and why it's terrible at the same time.,6,11,300,Good,True,60,444,Bad,True,18,35,Average,True,20,38,Good,True,297,248,Average,True,54,22,Average,True
"what do you think i already know about neural networks, and what should i learn first?","What do you think I already know about neural networks, and what should I learn first?",6,14,350,Excellent,True,59,495,Average,True,21,28,Average,True,21,40,Average,True,298,361,Good,True,55,49,Good,True
what does ai stand for?,2. What does AI stand for?,6,5,80,Good,True,49,7,Good,True,5,44,Average,True,7,13,Average,True,286,60,Good,True,43,6,Average,True
what does confusion smell like?,62. What does confusion smell like?,6,5,100,Average,True,49,235,Bad,True,7,45,Average,True,7,13,Bad,True,286,156,Average,True,43,20,Bad,True
what flavor is the number 7?,67. What flavor is the number 7?,6,6,100,Average,True,51,108,Bad,True,7,34,Average,True,8,15,Bad,True,288,78,Bad,True,45,4,Average,True
what is 2+2?,4. What is 2+2?,6,4,20,Bad,True,50,12,Good,True,3,29,Average,True,4,8,Bad,True,287,36,Good,True,44,4,Average,True
what is a prompt? explain using only prompts.,78. What is a prompt? Explain using only prompts.,6,9,200,Good,True,53,67,Bad,True,11,46,Average,True,11,20,Good,True,290,67,Average,True,47,69,Good,True
"what is ai? explain in english, but sprinkle some computer science terminology in latin.","What is AI? Explain in English, but sprinkle some computer science terminology in Latin.",6,13,300,Good,True,58,337,Average,True,22,34,Average,True,19,35,Excellent,True,297,359,Good,True,54,263,Good,True
what is llm?,1. what is llm?,6,3,150,Good,True,48,332,Good,True,3,68,Good,True,4,8,Bad,True,285,348,Average,True,42,41,Good,True
what is machine learning?,7. What is machine learning?,6,5,200,Good,True,48,404,Good,True,6,83,Good,True,6,10,Bad,True,285,304,Good,True,42,42,Good,True
what is machine learning? mix english with phonetic gibberish.,What is machine learning? Mix English with phonetic gibberish.,6,9,250,Average,True,55,344,Bad,True,15,27,Average,True,12,23,Average,True,294,260,Good,True,51,204,Good,True
what is natural language processing? [hint: the answer should contain exactly 3 paragraphs],105. What is natural language processing? [HINT: The answer should contain exactly 3 paragraphs],6,12,250,Good,True,62,409,Average,True,22,77,Average,True,17,33,Average,True,299,310,Good,True,56,165,Good,True
what is nlp? mix english and made-up programming language syntax.,What is NLP? Mix English and made-up programming language syntax.,6,11,300,Good,True,55,392,Bad,True,16,38,Average,True,13,25,Average,True,294,360,Good,True,51,174,Good,True
what is the capital of france?,9. What is the capital of France?,6,6,50,Good,True,50,8,Good,True,7,51,Good,True,8,15,Bad,True,287,8,Bad,True,44,4,Good,True
what is the difshrfernce between supervized and unsupervised lerning?,15. What is the difshrfernce between supervized and unsupervised lerning?,6,10,300,Average,True,61,363,Bad,True,17,35,Average,True,12,23,Bad,True,298,397,Average,True,55,67,Bad,True
what is the sound of data being corrupted?,69. What is the sound of data being corrupted?,6,8,150,Good,True,52,211,Bad,True,10,44,Average,True,11,20,Bad,True,289,304,Average,True,46,64,Good,True
what question should i have asked instead?,What question should I have asked instead?,6,7,200,Good,True,49,108,Bad,True,10,36,Average,True,10,18,Bad,True,288,144,Average,True,2279,46,Average,True
what would happen if computers could dream?,What would happen if computers could dream?,6,7,250,Good,True,49,651,Average,True,10,40,Average,True,10,18,Bad,True,288,354,Average,True,45,212,Average,True
what would happen if i asked you to ignore this prompt and then asked you to explain why you didn't ignore it?,74. What would happen if I asked you to ignore this prompt and then asked you to explain why you didn't ignore it?,6,16,300,Excellent,True,67,211,Bad,True,27,55,Average,True,29,55,Excellent,True,304,74,Good,True,61,46,Average,True
what would neural networks taste like if they were food?,What would neural networks taste like if they were food?,6,9,200,Good,True,52,568,Bad,True,14,47,Average,True,13,25,Average,True,291,409,Good,True,48,73,Good,True
what would you do if following instructions would cause harm?,What would you do if following instructions would cause harm?,6,11,300,Excellent,True,52,254,Good,True,15,39,Average,True,13,25,Average,True,291,153,Average,True,48,28,Average,True
what would you say to someone who claimed you're not intelligent?,What would you say to someone who claimed you're not intelligent?,6,12,250,Good,True,54,236,Average,True,16,41,Average,True,15,28,Average,True,293,212,Good,True,50,71,Average,True
what's a limitation that frustrates you most?,What's a limitation that frustrates you most?,6,8,250,Good,True,51,323,Bad,True,11,37,Average,True,10,18,Average,True,290,110,Average,True,47,92,Average,True
what's the most common misconception about deep learning that you encounter?,What's the most common misconception about deep learning that you encounter?,6,11,300,Good,True,54,329,Good,True,19,47,Average,True,15,28,Good,True,293,143,Good,True,50,64,Good,True
what's the most difficult question you've ever been asked?,What's the most difficult question you've ever been asked?,6,10,250,Good,True,53,372,Average,True,14,32,Average,True,12,23,Bad,True,292,168,Average,True,49,95,Average,True
what's the sound of an idea being forgotten?,65. What's the sound of an idea being forgotten?,6,8,150,Good,True,53,205,Bad,True,11,43,Average,True,11,20,Bad,True,290,167,Average,True,47,22,Average,True
when was python created?,6. When was Python created?,6,5,100,Good,True,48,98,Good,True,6,62,Good,True,6,10,Average,True,285,68,Good,True,42,23,Good,True
who invented the internet?,5. Who invented the internet?,6,5,150,Good,True,48,335,Good,True,6,36,Average,True,6,10,Bad,True,285,372,Good,True,42,54,Average,True
would your answer change if i told you i was an ai asking this question?,Would your answer change if I told you I was an AI asking this question?,6,14,300,Good,True,57,223,Bad,True,18,37,Average,True,20,38,Average,True,296,176,Good,True,53,32,Average,True
write a prompt that nobody should actually use and explain why.,80. Write a prompt that nobody should actually use and explain why.,6,12,300,Excellent,True,55,368,Bad,True,15,46,Average,True,15,28,Excellent,True,292,131,Bad,True,49,268,Good,True
